ID_EMAIL;FROM_EMAIL;ID_CLIENTE;TO_EMAIL;SUBJECT;BODY;DATE_CREATED;ID_TIPO_EMAIL
1;valoraltaleiloes@gmail.com;14;pedromgp06@gmail.com;FOI O VENCEDOR DO LEILAO;OLÁ k,\nÉs o vencedor do leilao {NOME_LEILAO} .\nEntra em contacto com a leiloeira para sabes como levantar o prémio.\nA equipa,\n{EQUIPA};29/04/2025 22:56:08;2
2;valoraltaleiloes@gmail.com;7;JOSEFINA@OUTLOOK.COM;FOI O VENCEDOR DO LEILAO;OLÁ JOSEFINA,\nÉs o vencedor do leilao {NOME_LEILAO} .\nEntra em contacto com a leiloeira para sabes como levantar o prémio.\nA equipa,\n{EQUIPA};29/04/2025 22:57:15;2
3;valoraltaleiloes@gmail.com;9;BONIFACIA@GMAIL.COM;FOI O VENCEDOR DO LEILAO;OLÁ BONIFACIA,\nÉs o vencedor do leilao {NOME_LEILAO} .\nEntra em contacto com a leiloeira para sabes como levantar o prémio.\nA equipa,\n{EQUIPA};29/04/2025 22:57:17;2
4;valoraltaleiloes@gmail.com;14;pedromgp06@gmail.com;FOI O VENCEDOR DO LEILAO;OLÁ k,\nÉs o vencedor do leilao {NOME_LEILAO} .\nEntra em contacto com a leiloeira para sabes como levantar o prémio.\nA equipa,\n{EQUIPA};29/04/2025 22:57:20;2
5;valoraltaleiloes@gmail.com;7;JOSEFINA@OUTLOOK.COM;SENTIMOS A SUA FALTA;Olá JOSEFINA,\nReparamos que não o vemos há 3 meses! Está tudo bem consigo?\nAnsiamos por voltar a vê lo!\nA equipa,\n{EQUIPA};29/04/2025 22:58:06;3
6;valoraltaleiloes@gmail.com;9;BONIFACIA@GMAIL.COM;SENTIMOS A SUA FALTA;Olá BONIFACIA,\nReparamos que não o vemos há 3 meses! Está tudo bem consigo?\nAnsiamos por voltar a vê lo!\nA equipa,\n{EQUIPA};29/04/2025 22:58:08;3
7;valoraltaleiloes@gmail.com;14;pedromgp06@gmail.com;SENTIMOS A SUA FALTA;Olá k,\nReparamos que não o vemos há 3 meses! Está tudo bem consigo?\nAnsiamos por voltar a vê lo!\nA equipa,\n{EQUIPA};29/04/2025 22:58:09;3
8;valoraltaleiloes@gmail.com;7;JOSEFINA@OUTLOOK.COM;sabemos que tas teso;Ole JOSEFINA,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 22:58:45;4
9;valoraltaleiloes@gmail.com;9;BONIFACIA@GMAIL.COM;sabemos que tas teso;Ole BONIFACIA,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 22:58:46;4
10;valoraltaleiloes@gmail.com;14;pedromgp06@gmail.com;sabemos que tas teso;Ole k,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 22:58:48;4
11;valoraltaleiloes@gmail.com;7;JOSEFINA@OUTLOOK.COM;sabemos que tas teso;Ole JOSEFINA,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 23:00:13;4
12;valoraltaleiloes@gmail.com;9;BONIFACIA@GMAIL.COM;sabemos que tas teso;Ole BONIFACIA,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 23:00:15;4
13;valoraltaleiloes@gmail.com;11;leandrocmonteiro2005@gmail.com;sabemos que tas teso;Ole Leandro,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 23:00:18;4
14;valoraltaleiloes@gmail.com;14;pedromgp06@gmail.com;sabemos que tas teso;Ole k,\nSabemos que tens de roubar um banco!\nA equipa;29/04/2025 23:00:19;4
